Rk,Player,Age,Pos,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards,Player-additional
1,Michael Wacha,33,SP,2.8,10,13,.435,3.86,31,31,0,0,0,0,172.2,166,74,74,15,45,0,126,4,0,2,716,106,3.66,1.222,8.7,0.8,2.3,6.6,2.80,,wachami01
2,Seth Lugo,35,SP,1.7,8,7,.533,4.15,26,26,0,0,0,0,145.1,133,70,67,27,55,1,125,6,0,5,611,99,5.09,1.294,8.2,1.7,3.4,7.7,2.27,,lugose01
3,Michael Lorenzen,33,SP,0.4,7,11,.389,4.64,27,26,0,0,0,0,141.2,149,76,73,25,39,0,127,6,0,12,606,89,4.59,1.327,9.5,1.6,2.5,8.1,3.26,,lorenmi01
4,Noah Cameron*,25,SP,3.8,9,7,.563,2.99,24,24,0,0,0,0,138.1,109,46,46,18,43,1,114,3,0,3,556,137,4.18,1.099,7.1,1.2,2.8,7.4,2.65,,camerno01
5,Kris Bubic*,27,SP,3.1,8,7,.533,2.55,20,20,0,0,0,0,116.1,98,38,33,6,39,1,116,3,0,1,476,161,2.90,1.178,7.6,0.5,3.0,9.0,2.97,AS,bubickr01
6,Cole Ragans*,27,SP,0.2,3,3,.500,4.67,13,13,0,0,0,0,61.2,53,33,32,7,20,0,98,2,0,3,257,88,2.50,1.184,7.7,1.0,2.9,14.3,4.90,,raganco01
7,Carlos Estévez,32,CL,2.1,4,5,.444,2.45,67,0,57,0,0,42,66.0,48,22,18,5,22,6,54,4,1,2,269,168,3.67,1.061,6.5,0.7,3.0,7.4,2.45,AS,estevca01
8,Daniel Lynch IV*,28,RP,1.3,6,2,.750,3.06,57,2,8,0,0,1,67.2,66,24,23,8,26,1,45,6,0,1,289,135,4.76,1.360,8.8,1.1,3.5,6.0,1.73,,lynchda02
9,Ángel Zerpa*,25,RP,0.3,5,2,.714,4.18,69,2,4,0,0,0,64.2,67,30,30,7,22,0,58,2,1,1,275,99,3.86,1.376,9.3,1.0,3.1,8.1,2.64,,zerpaan01
10,John Schreiber,31,RP,0.5,3,3,.500,3.80,74,0,8,0,0,1,64.0,57,29,27,10,19,1,62,1,0,2,265,108,4.17,1.188,8.0,1.4,2.7,8.7,3.26,,schrejo01
11,Lucas Erceg,30,RP,1.5,8,4,.667,2.64,61,0,10,0,0,2,61.1,54,19,18,4,18,3,48,4,0,3,249,156,3.49,1.174,7.9,0.6,2.6,7.0,2.67,,erceglu01
12,Taylor Clarke,32,,1.0,1,1,.500,3.25,51,0,15,0,0,1,55.1,38,20,20,8,9,0,44,1,0,5,206,127,3.97,0.849,6.2,1.3,1.5,7.2,4.89,,clarkta01
13,Steven Cruz,26,,0.4,3,1,.750,3.74,47,0,9,0,0,0,45.2,36,20,19,5,18,1,38,1,0,1,189,110,4.14,1.182,7.1,1.0,3.5,7.5,2.11,,cruzst01
14,Jonathan Bowlan,28,,0.2,1,2,.333,3.86,34,1,7,0,0,0,44.1,37,21,19,6,17,0,46,0,0,1,180,107,3.97,1.218,7.5,1.2,3.5,9.3,2.71,,bowlajo01
15,Ryan Bergert,25,,0.2,1,2,.333,4.43,8,8,0,0,0,0,40.2,37,21,20,4,17,1,39,0,0,1,174,93,3.75,1.328,8.2,0.9,3.8,8.6,2.29,,bergery01
16,Sam Long*,29,,-0.7,2,3,.400,5.36,39,0,19,0,0,0,40.1,48,31,24,7,22,1,33,2,0,5,189,77,5.54,1.736,10.7,1.6,4.9,7.4,1.50,,longsa01
17,Stephen Kolek,28,,1.1,1,2,.333,1.91,5,5,0,0,0,0,33.0,20,9,7,1,5,0,21,0,0,0,125,217,2.71,0.758,5.5,0.3,1.4,5.7,4.20,,kolekst01
18,Chris Stratton,34,,-0.4,0,0,,7.94,12,0,7,0,0,0,17.0,29,17,15,2,8,0,16,0,0,0,87,53,4.19,2.176,15.4,1.1,4.2,8.5,2.00,,stratch01
19,Luinder Avila,23,,0.4,1,1,.500,1.29,13,0,9,0,0,0,14.0,7,2,2,0,6,0,16,0,0,0,56,327,2.14,0.929,4.5,0.0,3.9,10.3,2.67,,avilalu02
20,Bailey Falter*,28,,-0.7,0,2,.000,11.25,4,2,1,0,0,0,12.0,20,15,15,2,7,0,11,0,0,1,61,38,5.22,2.250,15.0,1.5,5.3,8.3,1.57,,falteba01
21,Hunter Harvey,30,,0.7,1,0,1.000,0.00,12,0,1,0,0,0,10.2,6,0,0,0,1,0,11,0,0,0,39,,1.35,0.656,5.1,0.0,0.8,9.3,11.00,,harvehu01
22,Rich Hill*,45,,-0.1,0,2,.000,5.00,2,2,0,0,0,0,9.0,9,7,5,2,8,0,4,0,0,0,43,85,7.80,1.889,9.0,2.0,8.0,4.0,0.50,,hillri01
23,Evan Sisk*,28,,0.1,0,0,,1.69,5,0,1,0,0,0,5.1,5,1,1,0,5,0,11,0,1,1,26,260,1.82,1.875,8.4,0.0,8.4,18.6,2.20,,siskev01
24,Andrew Hoffmann,25,,-0.2,0,0,,3.86,3,0,2,0,0,0,4.2,7,6,2,1,4,0,5,0,0,1,26,115,6.35,2.357,13.5,1.9,7.7,9.6,1.25,,hoffman01
25,Trevor Richards,32,,-0.1,0,0,,12.00,3,0,2,0,0,0,3.0,7,4,4,0,2,0,2,0,0,3,18,38,3.80,3.000,21.0,0.0,6.0,6.0,1.00,,richatr01
26,Luke Maile,34,,0.0,0,0,,0.00,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0,0,0,0,4,,6.14,1.000,0.0,0.0,9.0,0.0,0.00,,mailelu01
27,Thomas Hatch,30,,-0.1,0,0,,18.00,1,0,1,0,0,0,1.0,2,2,2,1,0,0,1,0,0,0,5,31,14.14,2.000,18.0,9.0,0.0,9.0,,,hatchto01
,Team Totals,,,19.4,82,80,.506,3.73,162,162,162,0,0,47,1436.2,1308,637,596,171,478,17,1271,45,3,54,5997,110,4.01,1.243,8.2,1.1,3.0,8.0,2.66,,-9999